id,video_url,New URL,Status
YhcT-5KxR9ecfqspyrYDaQ,https://video-cdn.fuze.us/gHI55KpGQbWVqTjAfBleRCXHnlm2/video-1710405968553-gHI55KpGQbWVqTjAfBleRCXHnlm2.mov,,Pending
b0ai6ZTUSC-ehFZR6R-Cyw,https://video-cdn.fuze.us/gHI55KpGQbWVqTjAfBleRCXHnlm2/video-1707990244913-gHI55KpGQbWVqTjAfBleRCXHnlm2.mp4,,Pending
PqHfVCoTQyG5tLaSQXLzMA,https://video-cdn.fuze.us/gHI55KpGQbWVqTjAfBleRCXHnlm2/video-1707987842406-gHI55KpGQbWVqTjAfBleRCXHnlm2.mp4,,Pending
c8b0c_bZSGaZRj17l5Pkrg,https://video-cdn.fuze.us/gHI55KpGQbWVqTjAfBleRCXHnlm2/video-1707987723501-gHI55KpGQbWVqTjAfBleRCXHnlm2.mp4,,Pending
RWVS6XetToGKFYH1TwS8Xg,https://video-cdn.fuze.us/gHI55KpGQbWVqTjAfBleRCXHnlm2/video-1707987621428-gHI55KpGQbWVqTjAfBleRCXHnlm2.mp4,,Pending
Mht7OIdQTCSxxvob98TaZw,https://video-cdn.fuze.us/gHI55KpGQbWVqTjAfBleRCXHnlm2/video-1707987509220-gHI55KpGQbWVqTjAfBleRCXHnlm2.mp4,,Pending
QwbLdpqfRSGcR30PLlW8eg,https://video-cdn.fuze.us/gHI55KpGQbWVqTjAfBleRCXHnlm2/video-1707987394526-gHI55KpGQbWVqTjAfBleRCXHnlm2.mp4,,Pending
ZPjx2IKXQu6QdU6vSwx34A,https://video-cdn.fuze.us/gHI55KpGQbWVqTjAfBleRCXHnlm2/video-1707987285389-gHI55KpGQbWVqTjAfBleRCXHnlm2.mp4,,Pending
IkQ7kdMtS-a1bCKVOByR6Q,https://video-cdn.fuze.us/gHI55KpGQbWVqTjAfBleRCXHnlm2/video-1707987163857-gHI55KpGQbWVqTjAfBleRCXHnlm2.mp4,,Pending
SsiN3hlbR0iu_jhXPGnVfQ,https://video-cdn.fuze.us/gHI55KpGQbWVqTjAfBleRCXHnlm2/video-1707987039115-gHI55KpGQbWVqTjAfBleRCXHnlm2.mp4,,Pending
Y1KJL7JWQf25v-oZqDt9cQ,https://video-cdn.fuze.us/gHI55KpGQbWVqTjAfBleRCXHnlm2/video-1707986991497-gHI55KpGQbWVqTjAfBleRCXHnlm2.mp4,,Pending
Da3AVQIdSCqyonRd8Rvv_Q,https://video-cdn.fuze.us/gHI55KpGQbWVqTjAfBleRCXHnlm2/video-1707986911126-gHI55KpGQbWVqTjAfBleRCXHnlm2.mp4,,Pending
